ClientID,Location,Grade,Variety,Intention Tonnage,Delivered,Balance,,Marketing Pool
163,Membury Store,GROUP 2 WINTER,Siskin,470.00,540.78,-70.78,,SS Direct Pricing
163,Membury Store,GROUP 4 SOFT,Belipi,200.00,207.94,-7.94,,SS Direct Pricing
163,Membury Store,OILSEED RAPE,Mxd OSR,125.00,121.94,3.06,,SS Direct Pricing
163,,FEED WHEAT,,0.00,13.58,-13.58,,
100,Membury Store,OILSEED RAPE,Mxd OSR,399.00,279.58,119.42,,SS Direct Pricing
100,Membury Store,GROUP 4 SOFT,Belipi,408.00,290.50,117.50,,SS Direct Pricing
100,Membury Store,GROUP 4 HARD,Crispin,"1,420.00","1,231.86",188.14,,SS Direct Pricing
210,Portbury Grain Terminal,FEED BARLEY,California,260.00,260.58,-0.58,,SS Long Pool
210,Membury Store,OILSEED RAPE,Mxd OSR,230.00,196.58,33.42,,SS Long Pool
210,A & M Turney,WARBURTONS,Crusoe,510.00,533.52,-23.52,,SS Long Pool
49,Membury Store,MALTING BARLEY SP,Propino,114.00,43.98,70.02,,SS Long Pool
49,Membury Store,GROUP 4 HARD,Costello,124.00,97.34,26.66,,SS Long Pool
49,,FEED WHEAT,,0.00,10.76,-10.76,,
142,Shrewton Store,BEANS WINTER,Tundra,110.00,128.26,-18.26,,SS Long Pool
212,Membury Store,GROUP 4 HARD,Costello,120.00,104.90,15.10,,SS Direct Pricing
212,Shrewton Store,OATS WINTER,Mascani,120.00,109.74,10.26,,SS Direct Pricing
360,Membury Store,MALTING BARLEY SP,Propino,250.00,489.82,-239.82,,CMG
360,Shrewton Store,MALTING BARLEY SP,Planet,250.00,367.74,-117.74,,CMG
6,Membury Store,GROUP 1 WINTER,Skyfall,250.00,325.56,-75.56,,SS Long Pool
2,Membury Store,OILSEED RAPE,Mxd OSR,120.00,136.70,-16.70,,SS Long Pool
2,Membury Store,PEAS,Unknown Peas,80.00,0.00,80.00,,SS Long Pool
369,Membury Store,MALTING BARLEY SP,Propino,650.00,465.98,184.02,,CMG
17,A & M Turney,WARBURTONS,Crusoe,390.00,320.00,70.00,,SS Long Pool
17,Shrewton Store,OILSEED RAPE,Mxd OSR,180.00,145.32,34.68,,SS Long Pool
17,Shrewton Store,BEANS SPRING,Vertigo,30.00,49.68,-19.68,,SS Long Pool
17,Shrewton Store,BEANS SPRING,Fury,90.00,58.88,31.12,,SS Long Pool
3,Membury Store,MALTING BARLEY W,Venture,135.00,124.72,10.28,,SS Long Pool
3,Membury Store,GROUP 3 SOFT,Basset,170.00,186.74,-16.74,,SS Long Pool
3,Membury Store,OILSEED RAPE,Mxd OSR,45.00,41.66,3.34,,SS Long Pool
9,Shrewton Store,MALTING BARLEY SP,Propino,250.00,0.00,250.00,,SS Long Pool
9,Shrewton Store,MALTING BARLEY SP,Planet,350.00,380.14,-30.14,,SS Long Pool
9,Shrewton Store,GROUP 4 HARD,JB Diego,270.00,112.14,157.86,,SS Long Pool
9,Shrewton Store,GROUP 4 HARD,Graham,500.00,0.00,500.00,,SS Long Pool
9,Shrewton Store,OILSEED RAPE,Mxd OSR,290.00,320.00,-30.00,,SS Long Pool
9,,OILSEED RAPE,,0.00,63.60,-63.60,,
9,,GROUP 4 HARD,,0.00,30.60,-30.60,,
10,A & M Turney,WARBURTONS,Crusoe,290.00,269.18,20.82,,SS Long Pool
10,Membury Store,OILSEED RAPE,Mxd OSR,205.00,189.70,15.30,,SS Long Pool
10,Membury Store,GROUP 1 WINTER,Crusoe,215.00,213.04,1.96,,SS Long Pool
335,Membury Store,MALTING BARLEY SP,Propino,320.00,210.62,109.38,,SS Long Pool
334,Membury Store,MALTING BARLEY SP,Propino,160.00,88.22,71.78,,SS Long Pool
334,Membury Store,GROUP 1 WINTER,Skyfall,203.00,178.56,24.44,,SS Long Pool
305,Membury Store,MALTING BARLEY SP,Propino,130.00,0.00,130.00,,SS Direct Pricing
305,Membury Store,GROUP 1 SPRING,Mulika,100.00,46.16,53.84,,SS Direct Pricing
305,,FEED BARLEY,,0.00,79.20,-79.20,,
15,A & M Turney,WARBURTONS,Skyfall,"1,015.00","1,028.76",-13.76,,SS Long Pool
390,Membury Store,MALTING BARLEY SP,Propino,260.00,128.90,131.10,,SS Long Pool
5,Membury Store,FEED BARLEY,Bazooka,80.00,141.98,-61.98,,SS Long Pool
5,Membury Store,MALTING BARLEY SP,Propino,120.00,58.42,61.58,,SS Long Pool
5,Membury Store,GROUP 1 WINTER,Crusoe,200.00,209.10,-9.10,,SS Long Pool
54,Membury Store,FEED BARLEY,Bazooka,150.00,142.86,7.14,,SS Direct Pricing
54,Shrewton Store,MALTING BARLEY SP,Planet,130.00,151.04,-21.04,,SS Direct Pricing
54,Membury Store,GROUP 1 WINTER,Crusoe,140.00,113.90,26.10,,SS Direct Pricing
54,Membury Store,GROUP 1 WINTER,Zyatt,40.00,60.04,-20.04,,SS Direct Pricing
54,Membury Store,GROUP 4 HARD,Costello,190.00,146.46,43.54,,SS Direct Pricing
54,Membury Store,GROUP 4 HARD,JB Diego,30.00,0.00,30.00,,SS Direct Pricing
54,Micheldever Store,OATS SPRING,Canyon,50.00,48.66,1.34,,SS Direct Pricing
54,Micheldever Store,OATS WINTER,Mascani,130.00,118.72,11.28,,SS Direct Pricing
54,,GROUP 4 HARD,,0.00,28.98,-28.98,,
54,,MALTING BARLEY SP,,0.00,25.84,-25.84,,
99,Membury Store,GROUP 1 WINTER,Crusoe,130.00,0.00,130.00,,SS Direct Pricing
99,Membury Store,GROUP 4 HARD,JB Diego,30.00,0.00,30.00,,SS Direct Pricing
99,Membury Store,GROUP 4 HARD,Marston,30.00,0.00,30.00,,SS Direct Pricing
99,Membury Store,GROUP 4 HARD,Costello,10.00,0.00,10.00,,SS Direct Pricing
99,Membury Store,OILSEED RAPE,Mxd OSR,60.00,0.00,60.00,,SS Direct Pricing
81,A & M Turney,WARBURTONS,Skyfall,130.00,119.52,10.48,,SS Long Pool
367,Micheldever Store,MALTING BARLEY SP,Irina,73.00,56.94,16.06,,SS Long Pool
367,Membury Store,GROUP 4 HARD,Costello,243.00,312.40,-69.40,,SS Long Pool
216,Membury Store,GROUP 4 HARD,JB Diego,100.00,119.84,-19.84,,SS Direct Pricing
